Název;Kód;Kategorie
Sedlec u Líbeznic;Sedlec u Líbeznic;katastr
Podlesí u Sadova;Podlesí u Sadova;katastr
Líský;Líský;katastr
Kyselka;Kyselka;katastr
Zdíkovec;Zdíkovec;katastr
Morávka;Morávka;katastr
Sruby;Sruby;katastr
Skřivaň;Skřivaň;katastr
Kundratice u Žiželic nad Cidlinou;Kundratice u Žiželic nad Cidlinou;katastr
Seménkovice;Seménkovice;katastr
Bělá u Liberka;Bělá u Liberka;katastr
Popice u Jihlavy;Popice u Jihlavy;katastr
Louňovice;Louňovice;katastr
Světlá nad Sázavou;Světlá nad Sázavou;katastr
Holostřevy;Holostřevy;katastr
Lány u Bylan;Lány u Bylan;katastr
Jindřichov ve Slezsku;Jindřichov ve Slezsku;katastr
Horní Javoří;Horní Javoří;katastr
Vadkov;Vadkov;katastr
Březová u Hořovic;Březová u Hořovic;katastr
Vřesovice;Vřesovice;katastr
Martinov u Mariánských Lázní;Martinov u Mariánských Lázní;katastr
Křivenice;Křivenice;katastr
Kardavec;Kardavec;katastr
Květná u Lukové;Květná u Lukové;katastr
Trnová u Plzně;Trnová u Plzně;katastr
Katusice;Katusice;katastr
Opava-Město;Opava-Město;katastr
Mokřina;Mokřina;katastr
Borová u Chvalšin;Borová u Chvalšin;katastr
Prudice;Prudice;katastr
Květnová;Květnová;katastr
Hronětice;Hronětice;katastr
Litice nad Orlicí;Litice nad Orlicí;katastr
Merklovice;Merklovice;katastr
Habartice u Jindřichova;Habartice u Jindřichova;katastr
Újezd nad Rokytnou;Újezd nad Rokytnou;katastr
Brná nad Labem;Brná nad Labem;katastr
Krutěnice;Krutěnice;katastr
Přerubenice;Přerubenice;katastr
Loučky nad Odrou;Loučky nad Odrou;katastr
Zadní Kopanina;Zadní Kopanina;katastr
Chuderovec;Chuderovec;katastr
Malenovice;Malenovice;katastr
Mašovice u Znojma;Mašovice u Znojma;katastr
Měník;Měník;katastr
Těchobuz;Těchobuz;katastr
Arnoltice u Bulovky;Arnoltice u Bulovky;katastr
Broumy;Broumy;katastr
Šibanov;Šibanov;katastr
Malý Újezd;Malý Újezd;katastr
Vlachovo Březí;Vlachovo Březí;katastr
Nová Včelnice;Nová Včelnice;katastr
Janov u Kosovy Hory;Janov u Kosovy Hory;katastr
Ježov nad Želivkou;Ježov nad Želivkou;katastr
Holyně u Svojšína;Holyně u Svojšína;katastr
Nučnice;Nučnice;katastr
Svatá Maří;Svatá Maří;katastr
Mlýnice u Červené Vody;Mlýnice u Červené Vody;katastr
Tlučná;Tlučná;katastr
Rychlov u Bystřice pod Hostýnem;Rychlov u Bystřice pod Hostýnem;katastr
Rankov u Chotěboře;Rankov u Chotěboře;katastr
Blazice;Blazice;katastr
Tvořihráz;Tvořihráz;katastr
Řetechov;Řetechov;katastr
Lubné;Lubné;katastr
Vrbatův Kostelec;Vrbatův Kostelec;katastr
Spáleniště;Spáleniště;katastr
Jaroslavice;Jaroslavice;katastr
Raná u Loun;Raná u Loun;katastr
Svéradice;Svéradice;katastr
Starý Poddvorov;Starý Poddvorov;katastr
Hodolany;Hodolany;katastr
Bořice u Hrochova Týnce;Bořice u Hrochova Týnce;katastr
Pravčice;Pravčice;katastr
Vrbice u Mšeného-lázní;Vrbice u Mšeného-lázní;katastr
Sušany;Sušany;katastr
Doubí u Liberce;Doubí u Liberce;katastr
Česká Rybná u Žamberka;Česká Rybná u Žamberka;katastr
Třitim;Třitim;katastr
Teplička;Teplička;katastr
Vydří;Vydří;katastr
Stanoviště u Mariánských Lázní;Stanoviště u Mariánských Lázní;katastr
Chvojnov;Chvojnov;katastr
Dvorec u Třebče;Dvorec u Třebče;katastr
Zamachy;Zamachy;katastr
Starcova Lhota;Starcova Lhota;katastr
Žákava;Žákava;katastr
Ústup;Ústup;katastr
Ražice;Ražice;katastr
Nahý Újezdec;Nahý Újezdec;katastr
Chroustov u Třebenic;Chroustov u Třebenic;katastr
Tři Sekery u Kynžvartu;Tři Sekery u Kynžvartu;katastr
Dobřichovice;Dobřichovice;katastr
Dolní Světlé Hory;Dolní Světlé Hory;katastr
Vyšetice;Vyšetice;katastr
Řepeč;Řepeč;katastr
Okrašovice;Okrašovice;katastr
Lípa nad Orlicí;Lípa nad Orlicí;katastr
Slavkov u Opavy;Slavkov u Opavy;katastr
Bražec u Těšetic;Bražec u Těšetic;katastr
Kamenice nad Lipou;Kamenice nad Lipou;katastr
Tulešice;Tulešice;katastr
Loužnice;Loužnice;katastr
Hostice;Hostice;katastr
Kasejovice;Kasejovice;katastr
Krasíkovice;Krasíkovice;katastr
Otrokovice;Otrokovice;katastr
Lukov nad Dyjí;Lukov nad Dyjí;katastr
Šaratice;Šaratice;katastr
Zboží u Dvora Králové;Zboží u Dvora Králové;katastr
Nedakonice;Nedakonice;katastr
Světlice;Světlice;katastr
Velká Kraš;Velká Kraš;katastr
Mlékojedy u Litoměřic;Mlékojedy u Litoměřic;katastr
Olešnice nad Cidlinou;Olešnice nad Cidlinou;katastr
Dolní Hanychov;Dolní Hanychov;katastr
Malovidy;Malovidy;katastr
Milešov u Lovosic;Milešov u Lovosic;katastr
Plánská Huť;Plánská Huť;katastr
Vysoká u Příbramě;Vysoká u Příbramě;katastr
Pozov;Pozov;katastr
Dobrotice u Chanovic;Dobrotice u Chanovic;katastr
Drahov;Drahov;katastr
Kamenná u Trhových Svinů;Kamenná u Trhových Svinů;katastr
Brloh pod Kletí;Brloh pod Kletí;katastr
Rokytnice nad Rokytnou;Rokytnice nad Rokytnou;katastr
Ledce u Kladna;Ledce u Kladna;katastr
Putkov;Putkov;katastr
Posadov;Posadov;katastr
Brodec;Brodec;katastr
Svatý Kopeček;Svatý Kopeček;katastr
Němětice;Němětice;katastr
Jakubčovice nad Odrou;Jakubčovice nad Odrou;katastr
Hradišťko II;Hradišťko II;katastr
Počaply nad Loučnou;Počaply nad Loučnou;katastr
Krásné Pole;Krásné Pole;katastr
Velký Újezd u Kojatic;Velký Újezd u Kojatic;katastr
Mistřice I;Mistřice I;katastr
Dvůr Králové nad Labem;Dvůr Králové nad Labem;katastr
Klimkovice;Klimkovice;katastr
Rožná;Rožná;katastr
Ždánice u Vilémova;Ždánice u Vilémova;katastr
Svojetice;Svojetice;katastr
Vícenice u Náměště nad Oslavou;Vícenice u Náměště nad Oslavou;katastr
Seloutky;Seloutky;katastr
Mlýnec u Kopidlna;Mlýnec u Kopidlna;katastr
Albrechtice nad Vltavou;Albrechtice nad Vltavou;katastr
Marefy;Marefy;katastr
Nové Dvory u Kutné Hory;Nové Dvory u Kutné Hory;katastr
Všetice;Všetice;katastr
Kosobudy;Kosobudy;katastr
Záryby;Záryby;katastr
Lhenice;Lhenice;katastr
Chaloupky;Chaloupky;katastr
Kochánov u Mitrova;Kochánov u Mitrova;katastr
Kolence;Kolence;katastr
Oldřichov nad Ploučnicí;Oldřichov nad Ploučnicí;katastr
Chocnějovice;Chocnějovice;katastr
Františkov nad Ploučnicí;Františkov nad Ploučnicí;katastr
Běhařov;Běhařov;katastr
Kvílice;Kvílice;katastr
Křižanov u Mezilečí;Křižanov u Mezilečí;katastr
Strážný;Strážný;katastr
Nučice;Nučice;katastr
Hlízov;Hlízov;katastr
Dolní Bousov;Dolní Bousov;katastr
Krabonoš;Krabonoš;katastr
Dolní Habartice;Dolní Habartice;katastr
Dobrovíz;Dobrovíz;katastr
Chrášťany u Týna nad Vltavou;Chrášťany u Týna nad Vltavou;katastr
Podhradí u Aše;Podhradí u Aše;katastr
Kbelany;Kbelany;katastr
Branišov na Šumavě;Branišov na Šumavě;katastr
Služátky;Služátky;katastr
Chlebovice;Chlebovice;katastr
Kouty u Smilkova;Kouty u Smilkova;katastr
Malá Čermná;Malá Čermná;katastr
Skřipov;Skřipov;katastr
Těchoděly;Těchoděly;katastr
Příchovice u Kořenova;Příchovice u Kořenova;katastr
Dunovice;Dunovice;katastr
Horní Myslová;Horní Myslová;katastr
Kubíkovy Duby;Kubíkovy Duby;katastr
Trnovany u Litoměřic;Trnovany u Litoměřic;katastr
Frankův Zhořec;Frankův Zhořec;katastr
Střítež u Bukova;Střítež u Bukova;katastr
Ježená;Ježená;katastr
Dubenec;Dubenec;katastr
Kopřivná;Kopřivná;katastr
Jámy;Jámy;katastr
Dolní Bohušice;Dolní Bohušice;katastr
Bělá ve Slezsku;Bělá ve Slezsku;katastr
Pravice;Pravice;katastr
Lešná;Lešná;katastr
České Heřmanice;České Heřmanice;katastr
Javorník u Dlouhého Mostu;Javorník u Dlouhého Mostu;katastr
Žalkovice;Žalkovice;katastr
Fukov;Fukov;katastr
Velký Radkov I;Velký Radkov I;katastr
Bohdalovice u Větřní;Bohdalovice u Větřní;katastr
Radvanov;Radvanov;katastr
Svatojanský Újezd;Svatojanský Újezd;katastr
Levín nad Cidlinou;Levín nad Cidlinou;katastr
Nové Hraběcí;Nové Hraběcí;katastr
Městečko u Chotýšan;Městečko u Chotýšan;katastr
Plástovice;Plástovice;katastr
Dolní Borek;Dolní Borek;katastr
Konárovice;Konárovice;katastr
Netvořice;Netvořice;katastr
Velká nad Vltavou;Velká nad Vltavou;katastr
Daměnice;Daměnice;katastr
Doubravka u Týna nad Vltavou;Doubravka u Týna nad Vltavou;katastr
Mýto u Hořic na Šumavě;Mýto u Hořic na Šumavě;katastr
Přestání;Přestání;katastr
Dobrná;Dobrná;katastr
Stupčice;Stupčice;katastr
Dolní Falknov;Dolní Falknov;katastr
Vřesce;Vřesce;katastr
Březová Lada;Březová Lada;katastr
Zárybničná Lhota;Zárybničná Lhota;katastr
Neprobylice u Kutrovic;Neprobylice u Kutrovic;katastr
Čankovice;Čankovice;katastr
Děčany;Děčany;katastr
Třebotovice;Třebotovice;katastr
Hliniště;Hliniště;katastr
Bor u Chroustovic;Bor u Chroustovic;katastr
Hořany u Poříčan;Hořany u Poříčan;katastr
Mokrá Hora;Mokrá Hora;katastr
Jemníky;Jemníky;katastr
Nové Valteřice;Nové Valteřice;katastr
Sobkovice;Sobkovice;katastr
Třanovice;Třanovice;katastr
Počaply u Terezína;Počaply u Terezína;katastr
Mostkovice;Mostkovice;katastr
Lomnička u Tišnova;Lomnička u Tišnova;katastr
Stránské;Stránské;katastr
Branišovice u Ratiboře;Branišovice u Ratiboře;katastr
Hunčice;Hunčice;katastr
Sedlnice;Sedlnice;katastr
Žehuň;Žehuň;katastr
Dřešín;Dřešín;katastr
Vrbka u Postoloprt;Vrbka u Postoloprt;katastr
Bříza nad Ohří;Bříza nad Ohří;katastr
Žirecká Podstráň;Žirecká Podstráň;katastr
Hlubočec;Hlubočec;katastr
Trpišovice;Trpišovice;katastr
Tavíkovice;Tavíkovice;katastr
Pochvalov;Pochvalov;katastr
Volenice u Počedělic;Volenice u Počedělic;katastr
Vojetín u Rozsoch;Vojetín u Rozsoch;katastr
Dobřany v Orlických horách;Dobřany v Orlických horách;katastr
Chvalovice;Chvalovice;katastr
Třebihošť;Třebihošť;katastr
Hrabství;Hrabství;katastr
Týn u Třebíče;Týn u Třebíče;katastr
Lažánky u Veverské Bítýšky;Lažánky u Veverské Bítýšky;katastr
Doubravice u Dvora Králové;Doubravice u Dvora Králové;katastr
Dědice u Zbýšova;Dědice u Zbýšova;katastr
Hybrálec;Hybrálec;katastr
Česká Třebová;Česká Třebová;katastr
Tištín;Tištín;katastr
Vlčkovice u Mladkova;Vlčkovice u Mladkova;katastr
Příkazy;Příkazy;katastr
Přepeře u Turnova;Přepeře u Turnova;katastr
Císařský;Císařský;katastr
Mašov u Turnova;Mašov u Turnova;katastr
Brloh u Přelouče;Brloh u Přelouče;katastr
Jarov u Berouna;Jarov u Berouna;katastr
Vodochody u Prahy;Vodochody u Prahy;katastr
Maršovice u Dubé;Maršovice u Dubé;katastr
Horní Vilémovice;Horní Vilémovice;katastr
Lázně Bohdaneč;Lázně Bohdaneč;katastr
Račín u Polničky;Račín u Polničky;katastr
Šubířov;Šubířov;katastr
Polná;Polná;katastr
Vracov;Vracov;katastr
Smržov u Českého Dubu;Smržov u Českého Dubu;katastr
Labská;Labská;katastr
Ohnišťany;Ohnišťany;katastr
Heřmanice u Frýdlantu;Heřmanice u Frýdlantu;katastr
Chocerady;Chocerady;katastr
Radenov;Radenov;katastr
Ždírec v Podbezdězí;Ždírec v Podbezdězí;katastr
Malé Vrbno;Malé Vrbno;katastr
Zlobice;Zlobice;katastr
Horní Bezděkov u Bojanova;Horní Bezděkov u Bojanova;katastr
Pokojovice;Pokojovice;katastr
Ostrov;Ostrov;katastr
Bělečko;Bělečko;katastr
Loukovičky;Loukovičky;katastr
Vápenná;Vápenná;katastr
Olešnice u Turnova;Olešnice u Turnova;katastr
Štoutov;Štoutov;katastr
Viničné Šumice;Viničné Šumice;katastr
Přílezy;Přílezy;katastr
Chudonice;Chudonice;katastr
Bítov u Bílovce;Bítov u Bílovce;katastr
Vimperk;Vimperk;katastr
Hradiště u Vernéřova;Hradiště u Vernéřova;katastr
Svojše;Svojše;katastr
Brložec u Štědré;Brložec u Štědré;katastr
Nosákov;Nosákov;katastr
Úšovice;Úšovice;katastr
Kolín;Kolín;katastr
Prosetín u Dobkovic;Prosetín u Dobkovic;katastr
Chmelná u Pelhřimova;Chmelná u Pelhřimova;katastr
Zliv nad Mží;Zliv nad Mží;katastr
Družec;Družec;katastr
Vacíkov;Vacíkov;katastr
Dobrnice;Dobrnice;katastr
Březí u Kovářova;Březí u Kovářova;katastr
Cetenov;Cetenov;katastr
Hrádečná;Hrádečná;katastr
Lhota u Kestřan;Lhota u Kestřan;katastr
Bečov;Bečov;katastr
Rozhraní;Rozhraní;katastr
Týn u Lomnice;Týn u Lomnice;katastr
Hradiště u Nové Bystřice;Hradiště u Nové Bystřice;katastr
Chodovská Huť;Chodovská Huť;katastr
Konětopy u Příbramě;Konětopy u Příbramě;katastr
Vesec;Vesec;katastr
Nová Bystřice;Nová Bystřice;katastr
Zdounky;Zdounky;katastr
Nadlesí;Nadlesí;katastr
Vrážné;Vrážné;katastr
Krásné Údolí;Krásné Údolí;katastr
Bílý Kostel nad Nisou;Bílý Kostel nad Nisou;katastr
Mlýnický Dvůr;Mlýnický Dvůr;katastr
Smržov u Lomnice nad Lužnicí;Smržov u Lomnice nad Lužnicí;katastr
Rejštejn;Rejštejn;katastr
Přední Arnoštov;Přední Arnoštov;katastr
Předčice;Předčice;katastr
Podolí u Mnichova Hradiště;Podolí u Mnichova Hradiště;katastr
Čistá u Rovné;Čistá u Rovné;katastr
Bydžovská Lhotka;Bydžovská Lhotka;katastr
Mniší;Mniší;katastr
Košík;Košík;katastr
Opatov u Lubů;Opatov u Lubů;katastr
Valy u Mariánských Lázní;Valy u Mariánských Lázní;katastr
Neškaredice;Neškaredice;katastr
Chroustov;Chroustov;katastr
Volenice u Březnice;Volenice u Březnice;katastr
Šimanov na Šumavě;Šimanov na Šumavě;katastr
Lipná u Hazlova;Lipná u Hazlova;katastr
Nové Strašecí;Nové Strašecí;katastr
Kozlov nad Otavou;Kozlov nad Otavou;katastr
Hradešice;Hradešice;katastr
Třtí;Třtí;katastr
Soběslav;Soběslav;katastr
Dívčice;Dívčice;katastr
Červený Kostelec;Červený Kostelec;katastr
Dolní Orlice;Dolní Orlice;katastr
Štěnkov;Štěnkov;katastr
Žďár v Podbezdězí;Žďár v Podbezdězí;katastr
Kladrubce;Kladrubce;katastr
Komárov u Přelouče;Komárov u Přelouče;katastr
Loket;Loket;katastr
Beroun;Beroun;katastr
Honezovice;Honezovice;katastr
Vestec u Běstviny;Vestec u Běstviny;katastr
Hynkov;Hynkov;katastr
Lítov;Lítov;katastr
Králova Lhota;Králova Lhota;katastr
Vrbno nad Lesy;Vrbno nad Lesy;katastr
Žichlice u Modlan;Žichlice u Modlan;katastr
Velké Popovice;Velké Popovice;katastr
Hluboký;Hluboký;katastr
Polánka u Kasejovic;Polánka u Kasejovic;katastr
Komárov u Holic;Komárov u Holic;katastr
Dasný;Dasný;katastr
Višňová u Kardašovy Řečice;Višňová u Kardašovy Řečice;katastr
Sulice;Sulice;katastr
Dolní Police;Dolní Police;katastr
Renoty;Renoty;katastr
Zborovice;Zborovice;katastr
Jemnice;Jemnice;katastr
Bynina;Bynina;katastr
Šanov u Červené Vody;Šanov u Červené Vody;katastr
Traplice;Traplice;katastr
Maleč u Chotěboře;Maleč u Chotěboře;katastr
Dětřichov;Dětřichov;katastr
Lubojaty;Lubojaty;katastr
Běstvina;Běstvina;katastr
Stražisko;Stražisko;katastr
Panská Lhota;Panská Lhota;katastr
Smrček;Smrček;katastr
Pískov;Pískov;katastr
Stříbrné Hory u Přibyslavi;Stříbrné Hory u Přibyslavi;katastr
Hrutov;Hrutov;katastr
Věteřov;Věteřov;katastr
Pustina;Pustina;katastr
Buková u Semněvic;Buková u Semněvic;katastr
Skalka u České Metuje;Skalka u České Metuje;katastr
Bohdašín nad Olešnicí;Bohdašín nad Olešnicí;katastr
Radotín u Bílovce;Radotín u Bílovce;katastr
Ostrov u Ledče nad Sázavou;Ostrov u Ledče nad Sázavou;katastr
Sklené nad Oslavou;Sklené nad Oslavou;katastr
Hartíkov;Hartíkov;katastr
Najdek na Moravě;Najdek na Moravě;katastr
Svaté Pole u Horažďovic;Svaté Pole u Horažďovic;katastr
Hamry nad Sázavou;Hamry nad Sázavou;katastr
Šumná;Šumná;katastr
Újezd u Chcebuze;Újezd u Chcebuze;katastr
Rozseč;Rozseč;katastr
Víceměřice;Víceměřice;katastr
Mělčany u Dobrušky;Mělčany u Dobrušky;katastr
Dalovy;Dalovy;katastr
Heřmánky nad Odrou;Heřmánky nad Odrou;katastr
Přibyslav;Přibyslav;katastr
Leštinka u Světlé nad Sázavou;Leštinka u Světlé nad Sázavou;katastr
Zámek Žďár;Zámek Žďár;katastr
Droužetice;Droužetice;katastr
Blatiny;Blatiny;katastr
Zálesí u Drážova;Zálesí u Drážova;katastr
Bratříkov;Bratříkov;katastr
Škodějov;Škodějov;katastr
Dobrš;Dobrš;katastr
Rudolec;Rudolec;katastr
Chotiná;Chotiná;katastr
Jívová;Jívová;katastr
Psáry;Psáry;katastr
Hubojedy;Hubojedy;katastr
Dolní Kounice;Dolní Kounice;katastr
Bartultovice;Bartultovice;katastr
Srbce u Okřínka;Srbce u Okřínka;katastr
Bystřice pod Hostýnem;Bystřice pod Hostýnem;katastr
Radostice u Trocnova;Radostice u Trocnova;katastr
Hroznětice;Hroznětice;katastr
Mazelov;Mazelov;katastr
Vliněves;Vliněves;katastr
Borek u Děčína;Borek u Děčína;katastr
Babín u Horažďovic;Babín u Horažďovic;katastr
Lhota u Dřevčic;Lhota u Dřevčic;katastr
Dlouhá Lhota u Mladé Boleslavi;Dlouhá Lhota u Mladé Boleslavi;katastr
Bílá Voda;Bílá Voda;katastr
Předměstí;Předměstí;katastr
Vinaře u Kadaně;Vinaře u Kadaně;katastr
Víska u Jevíčka;Víska u Jevíčka;katastr
Kynice;Kynice;katastr
Lhota pod Přeloučí;Lhota pod Přeloučí;katastr
Tříklasovice;Tříklasovice;katastr
Starý Šidlov;Starý Šidlov;katastr
Drnholec nad Lubinou;Drnholec nad Lubinou;katastr
Jakubov u Moravských Budějovic;Jakubov u Moravských Budějovic;katastr
Mošnov;Mošnov;katastr
Žlebské Chvalovice;Žlebské Chvalovice;katastr
Strachotín;Strachotín;katastr
Moravský Karlov;Moravský Karlov;katastr
Libhošť;Libhošť;katastr
Dolní Fořt;Dolní Fořt;katastr
Sudkův Důl;Sudkův Důl;katastr
Pouzdřany;Pouzdřany;katastr
Lhota za Červeným Kostelcem;Lhota za Červeným Kostelcem;katastr
Babice u Kelče;Babice u Kelče;katastr
Branišovice;Branišovice;katastr
Vestřev;Vestřev;katastr
Václavov u Zábřeha;Václavov u Zábřeha;katastr
Vilémov u Golčova Jeníkova;Vilémov u Golčova Jeníkova;katastr
Budišovice;Budišovice;katastr
Staré Ransko;Staré Ransko;katastr
Suchá u Havlíčkova Brodu;Suchá u Havlíčkova Brodu;katastr
Bolatice;Bolatice;katastr
Borovník;Borovník;katastr
Lysůvky;Lysůvky;katastr
Černá Voda u Žacléře;Černá Voda u Žacléře;katastr
Mečeříž;Mečeříž;katastr
Hodslavice;Hodslavice;katastr
Kámen u Pacova;Kámen u Pacova;katastr
Dolní Kruty;Dolní Kruty;katastr
Jiřice u Humpolce;Jiřice u Humpolce;katastr
Újezdec u Horních Krut;Újezdec u Horních Krut;katastr
Mezihoří u Městečka Trnávky;Mezihoří u Městečka Trnávky;katastr
Přední Kopanina;Přední Kopanina;katastr
Jablonná nad Vltavou;Jablonná nad Vltavou;katastr
Heřmanice u Polomi;Heřmanice u Polomi;katastr
Sedlo u Horažďovic;Sedlo u Horažďovic;katastr
Moravský Beroun;Moravský Beroun;katastr
Ostrov u Brandýsa nad Labem;Ostrov u Brandýsa nad Labem;katastr
Dvorska;Dvorska;katastr
Michálkovice;Michálkovice;katastr
Radkov u Vítkova;Radkov u Vítkova;katastr
Strhaře;Strhaře;katastr
Brusné;Brusné;katastr
Slavníč;Slavníč;katastr
Řídeč;Řídeč;katastr
Velemín;Velemín;katastr
Nětčice;Nětčice;katastr
Bítov u Přehýšova;Bítov u Přehýšova;katastr
Trnčí;Trnčí;katastr
Zálší;Zálší;katastr
Vysoká u Kosovy Hory;Vysoká u Kosovy Hory;katastr
Sobědraž;Sobědraž;katastr
Vícemil;Vícemil;katastr
Zaječov v Brdech;Zaječov v Brdech;katastr
Načetín u Drahotína;Načetín u Drahotína;katastr
Veliká Ves;Veliká Ves;katastr
Cudrovice;Cudrovice;katastr
Šemnice;Šemnice;katastr
Falknov;Falknov;katastr
Kojice;Kojice;katastr
Divec;Divec;katastr
Staré Křečany;Staré Křečany;katastr
Daliměřice;Daliměřice;katastr
Květinov;Květinov;katastr
Černilov;Černilov;katastr
Troskovice;Troskovice;katastr
Uhelná;Uhelná;katastr
Třemošnice nad Doubravou;Třemošnice nad Doubravou;katastr
